listsize avgblocksize
1 65256.00
1 64928.00
1 64880.00
1 64008.00
1 63288.00
1 63016.00
1 62392.00
1 62200.00
1 61400.00
1 61320.00
1 61072.00
1 60136.00
1 59376.00
1 58736.00
1 58608.00
1 58576.00
1 58168.00
1 57216.00
1 56368.00
1 55400.00
1 54600.00
1 53632.00
1 52952.00
1 52312.00
1 51664.00
1 51000.00
1 50128.00
1 49104.00
1 48632.00
1 47976.00
1 47144.00
1 46472.00
1 45512.00
1 44656.00
1 44160.00
1 43528.00
1 43448.00
1 43384.00
1 42584.00
1 41728.00
1 41616.00
2 20772.00
2 20404.00
3 13602.67
4 10434.00
5 8302.40
6 7084.00
6 6918.67
6 6794.67
6 6794.67
7 5700.57
7 5700.57
7 5619.43
8 4955.00
8 5045.00
8 5024.00
8 5129.00
8 5014.00
8 5020.00
9 4529.78
10 4087.20
10 3992.00
10 3992.00
10 4066.40
11 3787.64
11 3787.64
12 3526.00
12 3524.67
12 3464.67
13 3257.85
13 3210.46
13 3210.46
13 3251.08
14 3052.57
14 3058.29
14 3058.29
14 3118.86
14 3135.43
15 2957.87
15 2957.87
15 2889.60
14 3131.43
14 3131.43
14 3131.43
15 2923.20
15 2902.93
15 2902.93
15 2854.40
15 2848.53
15 2912.53
15 2894.40
15 2850.13
15 2804.27
15 2773.87
15 2819.73
16 2682.00
17 2535.53
17 2571.76
17 2576.94
17 2576.94
17 2530.35
17 2486.12
17 2454.59
16 2655.50
16 2655.50
16 2655.50
16 2715.00
15 2945.60
15 2963.73
16 2834.50
16 2781.00
16 2781.00
16 2781.00
16 2779.50
16 2779.50
16 2741.00
17 2623.06
17 2623.06
17 2623.06
16 2812.50
17 2698.82
17 2667.29
17 2662.12
18 2549.78
18 2536.44
18 2530.67
18 2530.67
18 2530.67
18 2530.67
18 2577.78
18 2536.00
18 2577.78
18 2618.22
18 2618.22
18 2618.22
18 2618.22
17 2833.88
17 2833.88
17 2824.94
17 2781.65
17 2722.82
17 2664.94
17 2657.88
17 2598.59
17 2598.59
17 2598.59
17 2598.59
17 2581.18
17 2581.18
17 2532.24
17 2488.47
17 2440.00
18 2331.56
18 2287.11
18 2287.11
18 2283.11
18 2283.11
18 2233.33
19 2149.47
20 2052.40
20 2052.40
20 2067.60
20 2051.60
20 2051.60
20 2051.60
21 1960.00
21 1932.95
21 1914.67
21 1924.57
21 1891.43
21 1926.86
21 1877.71
21 1847.62
20 1972.80
20 1972.80
20 1980.00
20 1980.00
20 1977.60
20 1934.40
20 1934.40
20 1934.40
20 1934.40
20 1934.40
20 1959.60
20 1959.60
20 1953.60
20 1914.40
20 1945.60
20 1996.00
20 1982.00
20 1979.20
20 2004.40
20 2004.40
20 2004.40
20 1999.20
19 2085.05
19 2040.42
19 2018.95
19 2037.47
19 2042.95
19 2064.42
19 2107.79
19 2114.11
19 2157.05
19 2133.89
19 2091.37
20 2010.80
20 1982.80
20 1982.80
20 1931.20
20 1922.40
21 1850.29
21 1824.38
21 1842.67
21 1842.67
21 1850.67
22 1748.00
22 1711.64
22 1711.64
23 1645.22
22 1693.09
22 1649.45
22 1644.73
22 1622.55
22 1622.55
22 1578.18
22 1561.45
23 1520.00
23 1520.00
23 1520.00
23 1537.39
22 1614.18
22 1574.55
22 1574.55
22 1529.82
22 1517.82
23 1472.00
23 1466.43
23 1431.65
23 1440.70
23 1435.83
23 1435.83
24 1373.33
24 1362.00
24 1362.00
24 1362.00
24 1379.00
24 1379.00
24 1379.00
24 1367.67
24 1334.00
24 1372.33
24 1372.33
24 1372.33
24 1372.33
24 1335.33
23 1366.61
23 1366.61
24 1345.67
24 1385.67
24 1385.67
24 1381.00
24 1397.33
25 1368.64
25 1368.64
25 1371.20
25 1351.68
25 1322.56
26 1301.54
26 1327.08
26 1304.00
27 1261.93
27 1261.93
27 1256.30
27 1256.30
27 1274.37
27 1300.74
27 1283.56
27 1258.67
27 1249.19
27 1249.19
27 1258.07
27 1258.07
28 1243.14
28 1233.71
27 1284.74
28 1247.43
28 1210.00
28 1210.00
28 1210.00
28 1227.14
28 1217.43
28 1217.43
28 1217.43
28 1220.57
28 1204.86
28 1214.57
28 1214.57
28 1214.57
28 1207.43
27 1251.85
27 1251.85
27 1264.89
27 1297.78
27 1283.85
27 1255.41
27 1255.41
27 1255.41
27 1255.41
27 1246.22
27 1212.74
27 1214.81
27 1184.59
28 1176.57
28 1200.86
28 1229.71
29 1205.79
29 1210.48
29 1174.34
29 1190.07
29 1205.24
28 1270.29
29 1238.62
29 1238.62
29 1255.72
29 1255.72
29 1255.72
29 1261.79
29 1261.79
29 1261.79
29 1246.07
30 1185.33
30 1185.33
30 1197.87
30 1203.20
30 1180.53
29 1225.66
29 1220.97
29 1218.76
29 1218.76
29 1226.21
30 1208.80
30 1208.80
30 1228.53
30 1251.47
31 1225.03
31 1242.32
31 1245.16
31 1245.16
31 1245.16
31 1247.23
31 1213.42
31 1213.42
30 1252.27
30 1252.27
31 1223.74
32 1181.50
32 1181.50
33 1131.88
33 1132.61
33 1132.61
33 1122.91
33 1093.09
33 1084.85
33 1072.97
33 1072.97
34 1037.88
34 1066.59
33 1120.73
33 1120.73
33 1129.94
33 1129.94
34 1087.53
34 1087.53
34 1083.76
33 1140.61
32 1192.50
32 1192.50
32 1218.50
32 1218.50
32 1220.50
32 1224.25
32 1201.50
32 1182.75
32 1200.00
32 1211.00
32 1204.50
32 1204.50
32 1213.00
32 1213.00
32 1191.00
32 1169.00
31 1198.19
31 1204.90
30 1237.07
30 1240.53
30 1216.53
30 1213.60
30 1213.60
30 1213.60
30 1200.53
29 1212.97
29 1222.90
29 1219.59
28 1301.43
28 1296.86
29 1268.14
29 1268.14
29 1245.52
30 1223.20
30 1223.20
