listsize avgblocksize
1 65248.00
1 64808.00
1 63864.00
1 63168.00
1 62376.00
1 61912.00
1 60944.00
1 60568.00
1 59704.00
1 59080.00
1 58224.00
1 57232.00
1 56216.00
1 55840.00
1 55616.00
1 55072.00
1 54088.00
1 53968.00
1 53656.00
1 53080.00
1 52824.00
1 52112.00
1 51776.00
1 51592.00
1 50736.00
1 50312.00
1 50288.00
1 49288.00
1 49096.00
1 48960.00
1 48240.00
1 47792.00
1 47232.00
1 46608.00
1 46496.00
1 46184.00
1 46128.00
1 46088.00
1 45408.00
1 44504.00
1 43848.00
1 43352.00
2 21944.00
2 21944.00
3 14525.33
4 11056.00
4 11106.00
5 8945.60
6 7501.33
6 7548.00
7 6590.86
8 5781.00
8 5767.00
9 5078.22
10 4558.40
11 4234.18
12 3906.67
12 3906.67
12 3906.67
12 3942.00
12 3942.00
13 3704.62
13 3704.62
13 3704.62
14 3486.29
15 3313.60
15 3277.87
15 3277.87
15 3277.87
15 3277.87
16 3103.50
15 3325.87
15 3325.87
16 3124.50
16 3123.00
16 3150.50
16 3150.50
17 2971.29
17 2971.29
17 2999.53
17 2999.53
17 2999.53
17 2968.47
17 2976.94
18 2813.33
18 2809.78
18 2809.78
18 2803.11
18 2803.11
18 2803.11
18 2803.11
18 2829.33
18 2825.33
17 3019.76
17 2987.76
17 2972.24
16 3097.50
16 3101.00
16 3070.00
16 3023.00
16 3023.00
15 3206.40
15 3205.87
16 3013.50
16 3013.50
16 3015.50
16 3051.50
16 3080.50
16 3095.50
16 3057.00
15 3261.33
16 3074.00
16 3074.00
17 2926.59
17 2914.82
17 2887.53
18 2743.11
18 2746.67
17 2902.12
17 2852.71
17 2819.76
17 2835.29
17 2828.24
17 2791.53
17 2791.53
17 2791.53
18 2639.56
17 2847.06
17 2806.59
17 2806.59
16 2983.00
16 2983.00
16 2983.00
17 2839.53
17 2835.76
17 2835.76
16 3067.50
15 3303.47
14 3550.29
14 3550.29
14 3556.00
14 3516.00
14 3521.14
14 3459.43
14 3413.71
14 3425.14
14 3495.43
14 3493.14
14 3486.29
14 3484.57
14 3434.86
14 3388.57
14 3366.86
15 3131.20
15 3115.73
15 3063.47
15 3035.20
15 3035.20
15 3022.93
15 3022.93
15 3022.93
15 3022.93
16 2871.00
16 2855.00
16 2855.00
16 2855.00
16 2811.00
16 2754.00
17 2595.76
17 2626.82
18 2534.67
18 2534.67
19 2434.53
19 2434.53
19 2434.53
18 2541.78
18 2541.78
18 2516.44
18 2516.44
18 2516.44
18 2516.44
19 2366.32
19 2352.42
19 2312.00
19 2305.26
19 2314.95
19 2314.95
19 2314.95
20 2210.80
20 2176.00
20 2176.00
20 2184.00
20 2184.00
20 2212.00
20 2234.00
20 2204.80
19 2326.74
19 2326.74
19 2326.74
19 2326.74
19 2334.74
20 2246.00
20 2250.80
20 2288.40
19 2386.53
19 2374.32
19 2386.95
19 2395.37
19 2395.37
19 2395.37
19 2393.68
19 2380.21
19 2384.84
19 2361.26
19 2361.26
19 2361.26
19 2361.26
19 2335.58
19 2372.21
20 2272.00
20 2302.80
20 2302.80
20 2302.80
20 2336.00
20 2299.20
20 2285.20
20 2250.40
20 2202.80
20 2230.80
20 2232.00
20 2266.80
20 2246.80
19 2376.42
19 2376.42
19 2366.74
19 2373.47
19 2423.58
18 2540.44
18 2504.00
18 2504.00
18 2483.11
19 2338.95
20 2242.40
21 2126.48
21 2096.76
21 2114.67
21 2088.00
21 2082.67
21 2090.29
21 2090.29
21 2088.38
21 2088.38
21 2103.24
21 2096.00
21 2094.48
21 2114.29
21 2081.14
21 2081.14
21 2103.62
22 2051.64
22 2051.64
22 2009.82
22 1996.36
23 1930.43
23 1892.52
23 1931.48
23 1957.91
23 1999.65
23 2013.91
23 1972.52
23 1996.52
23 1996.52
23 1972.87
23 1946.43
24 1866.33
24 1874.33
23 1988.17
23 1984.35
23 1944.70
23 1944.70
23 1941.22
23 1900.52
23 1874.43
22 1945.82
21 2053.33
21 2023.62
21 2052.57
21 2052.57
20 2176.40
20 2167.20
20 2167.20
20 2157.20
20 2130.00
20 2130.00
20 2130.00
20 2100.40
20 2135.20
19 2279.16
19 2240.00
19 2240.00
19 2250.53
20 2182.40
20 2182.40
21 2087.24
21 2060.19
20 2186.80
20 2186.80
21 2076.95
21 2093.71
21 2120.00
21 2125.33
21 2103.62
21 2089.90
21 2108.57
22 1971.27
22 1986.91
22 1986.91
23 1925.57
23 1898.78
23 1907.48
23 1884.17
23 1882.43
24 1784.00
24 1784.00
24 1805.33
24 1805.33
23 1852.87
23 1861.57
23 1856.00
23 1875.83
23 1844.87
23 1805.22
23 1836.17
23 1808.35
24 1753.00
24 1751.00
24 1734.67
24 1734.67
24 1734.67
24 1702.67
23 1785.04
23 1785.04
24 1734.33
24 1736.00
24 1736.00
23 1837.91
23 1863.30
23 1840.00
23 1869.22
23 1900.87
23 1920.35
23 1945.39
23 1942.96
23 1942.96
23 1956.87
23 1920.35
23 1916.52
23 1922.09
23 1910.61
23 1901.57
23 1901.57
23 1922.78
23 1952.35
23 1936.00
23 1936.00
23 1936.00
23 1936.00
23 1930.09
23 1930.09
23 1929.39
23 1929.39
22 2042.91
22 2042.91
22 2038.91
22 2025.82
22 1994.18
21 2097.90
21 2097.90
22 1998.18
22 1951.27
23 1854.61
23 1854.61
23 1840.70
23 1802.43
23 1800.35
23 1762.43
23 1741.91
23 1736.35
23 1736.35
23 1766.96
24 1718.67
24 1716.00
23 1753.04
23 1736.00
22 1846.91
22 1884.73
22 1905.45
22 1868.00
21 1946.29
21 1916.57
21 1925.71
21 1927.24
21 1896.38
21 1908.95
21 1908.95
21 1860.95
21 1823.62
21 1823.62
21 1816.00
21 1769.90
22 1646.55
22 1620.00
22 1639.64
23 1591.30
23 1591.30
23 1591.30
22 1689.82
22 1730.55
22 1714.55
22 1714.55
22 1717.82
21 1843.43
21 1843.43
21 1803.43
21 1819.05
21 1821.71
21 1830.48
21 1798.48
21 1771.05
21 1759.24
21 1746.67
21 1746.67
21 1700.95
21 1700.95
21 1700.95
21 1666.29
21 1624.76
21 1624.76
22 1590.91
22 1590.91
22 1546.18
22 1546.18
23 1505.39
23 1498.09
23 1498.09
23 1489.04
23 1472.00
22 1548.00
22 1561.82
22 1561.82
22 1548.73
22 1548.73
22 1532.73
23 1502.26
23 1502.26
23 1486.61
23 1468.87
23 1468.87
23 1494.26
24 1468.00
25 1440.64
25 1430.72
25 1472.00
25 1473.92
25 1485.12
25 1485.12
25 1456.00
25 1456.00
25 1436.48
26 1374.15
25 1430.08
25 1411.52
25 1370.56
25 1370.56
25 1361.92
26 1318.77
26 1318.77
26 1280.31
26 1280.31
26 1304.00
26 1312.62
26 1312.62
26 1294.46
26 1326.46
26 1326.46
26 1353.23
26 1353.23
26 1353.23
26 1325.85
26 1312.62
26 1307.08
26 1276.92
27 1243.26
27 1246.81
27 1217.78
27 1217.78
27 1191.11
27 1191.11
26 1247.38
26 1247.38
26 1247.38
26 1247.38
26 1279.08
26 1279.08
27 1260.44
