listsize avgblocksize
1 64656.00
1 64424.00
1 63776.00
1 63080.00
1 62568.00
1 62088.00
1 61544.00
1 61120.00
1 61040.00
1 60224.00
1 59352.00
1 58992.00
1 58856.00
1 58176.00
1 58016.00
1 57440.00
1 56664.00
1 56480.00
1 56240.00
1 55624.00
1 55416.00
1 55128.00
1 54496.00
1 53640.00
1 53232.00
1 52624.00
1 51896.00
1 50952.00
1 50040.00
1 50008.00
1 49656.00
1 48960.00
1 48720.00
1 47752.00
1 47408.00
1 46680.00
1 46280.00
1 45424.00
1 45328.00
1 44872.00
1 44248.00
1 44248.00
2 21892.00
2 21524.00
2 21236.00
3 14352.00
3 14458.67
4 10996.00
4 10996.00
5 8931.20
6 7329.33
6 7413.33
6 7413.33
7 6356.57
8 5647.00
8 5638.00
9 5059.56
9 5154.67
9 5154.67
9 5154.67
10 4724.00
10 4724.00
11 4354.18
11 4267.64
11 4267.64
11 4267.64
11 4267.64
11 4267.64
11 4283.64
11 4349.82
12 3947.33
12 3947.33
12 3947.33
12 3886.67
12 3916.67
12 3906.67
12 3857.33
12 3857.33
12 3824.67
12 3842.67
13 3502.15
13 3502.15
13 3440.00
14 3236.57
14 3188.57
14 3140.00
14 3166.29
14 3166.29
14 3130.86
14 3113.14
14 3155.43
14 3155.43
14 3170.86
14 3170.86
15 3012.27
15 2966.93
15 2966.93
15 3033.60
15 3033.60
15 3033.60
15 3033.60
15 3033.60
15 3019.73
15 2960.00
15 2980.80
15 2939.20
15 2873.60
15 2873.60
15 2823.47
16 2696.50
16 2664.50
16 2664.50
16 2664.50
17 2541.18
17 2541.18
17 2555.76
17 2537.88
17 2551.06
17 2557.18
18 2397.78
18 2452.44
18 2461.33
18 2454.67
18 2486.67
18 2486.67
18 2516.89
18 2516.89
18 2516.89
18 2470.67
18 2505.78
18 2505.78
17 2682.82
17 2656.94
17 2643.29
18 2484.44
19 2352.84
18 2520.89
18 2520.89
18 2486.22
19 2360.42
19 2351.16
19 2390.74
19 2348.63
19 2313.26
19 2313.26
19 2313.26
19 2363.37
18 2546.67
18 2546.67
18 2574.22
19 2484.63
19 2484.63
19 2445.05
19 2445.05
19 2457.68
19 2493.05
19 2494.74
19 2461.89
19 2406.74
19 2370.53
19 2370.53
19 2363.79
19 2323.37
19 2323.37
19 2283.37
19 2247.16
19 2253.05
19 2256.84
19 2261.05
20 2182.80
20 2231.20
20 2231.20
20 2200.80
19 2290.11
19 2273.26
19 2268.63
19 2301.47
20 2210.80
20 2238.00
20 2238.00
20 2252.40
19 2404.63
19 2402.53
20 2293.60
20 2270.00
21 2147.05
21 2171.43
21 2192.38
21 2187.81
22 2112.36
22 2096.00
22 2051.64
22 2059.64
22 2059.64
22 2060.00
22 2060.00
22 2060.00
22 2028.00
22 2028.00
22 2017.09
22 1982.55
22 1986.18
22 1968.73
22 1968.73
22 2004.00
22 1996.00
21 2096.00
22 2000.36
22 1991.27
21 2105.14
21 2105.14
21 2071.24
21 2037.33
21 2008.38
21 2008.38
20 2159.20
21 2097.52
21 2140.95
21 2169.52
21 2169.52
21 2159.62
21 2174.10
21 2170.29
21 2128.38
20 2250.40
20 2236.40
20 2236.40
20 2274.40
19 2363.79
19 2363.79
19 2363.79
19 2363.79
19 2368.84
19 2368.84
19 2368.84
19 2341.47
19 2315.37
20 2246.00
20 2242.80
20 2242.80
20 2213.20
20 2213.20
20 2221.20
20 2208.80
21 2104.38
21 2104.38
21 2068.57
21 2083.43
21 2071.62
22 2003.27
22 2038.91
22 2019.64
22 2019.64
22 2019.64
23 1961.74
23 1961.74
23 1961.74
23 1961.74
23 1952.35
23 1987.48
23 1975.30
23 1945.39
24 1895.00
24 1877.00
24 1877.00
24 1877.00
24 1877.00
23 1966.96
23 1962.78
23 1920.70
23 1920.70
23 1924.52
23 1929.04
23 1957.91
22 2072.73
22 2071.27
21 2196.57
21 2196.57
21 2196.57
21 2196.57
21 2174.10
20 2288.00
21 2182.48
21 2182.48
21 2150.10
21 2131.43
21 2131.43
22 2043.27
23 1976.00
23 1985.39
23 1985.39
23 1992.35
23 1965.22
24 1900.00
23 2012.52
23 2029.22
23 2024.70
23 2038.26
23 2052.17
23 2082.09
23 2101.91
23 2100.17
23 2100.17
23 2100.17
24 1998.67
24 1998.67
23 2117.91
24 2013.67
24 2013.67
23 2132.17
23 2102.26
22 2208.36
22 2208.36
23 2128.70
23 2109.22
23 2126.61
23 2126.61
23 2127.65
23 2127.65
23 2085.22
23 2086.96
23 2086.96
23 2076.52
23 2055.30
24 1963.00
23 2078.61
23 2067.13
23 2067.13
23 2046.61
23 2036.52
23 2068.17
23 2028.52
23 2017.74
23 2017.74
23 1976.70
23 1976.70
23 2010.78
23 1984.70
23 2014.26
23 2028.87
23 2028.87
22 2124.00
22 2124.00
21 2263.24
21 2217.52
21 2246.86
21 2254.86
21 2250.67
21 2226.67
21 2223.24
21 2174.10
21 2145.14
20 2245.20
20 2245.20
21 2186.29
21 2179.43
22 2095.27
22 2095.27
22 2060.36
22 2060.36
22 2060.36
23 1971.83
24 1877.00
24 1837.67
24 1837.67
24 1842.67
24 1824.67
24 1817.67
24 1817.67
24 1823.67
24 1823.67
23 1889.39
23 1889.39
23 1874.09
23 1874.09
23 1904.00
23 1904.00
23 1893.57
23 1893.57
23 1933.22
23 1933.22
23 1930.78
23 1930.78
23 1892.52
23 1892.52
23 1892.52
23 1871.65
23 1857.74
23 1839.65
22 1932.00
22 1932.00
22 1928.00
23 1853.22
23 1864.35
24 1783.00
24 1775.67
24 1754.33
24 1735.00
24 1735.00
24 1736.33
23 1855.65
23 1838.26
23 1834.78
23 1834.78
23 1834.78
23 1834.78
23 1857.74
23 1865.39
23 1869.91
23 1847.30
24 1779.67
24 1816.33
24 1793.67
24 1810.67
