listsize avgblocksize
1 65304.00
1 64416.00
1 63576.00
1 62944.00
1 62008.00
1 61904.00
1 61608.00
1 60896.00
1 60120.00
1 59088.00
1 58632.00
1 57696.00
1 57016.00
1 56608.00
1 55784.00
1 54992.00
1 54888.00
1 54256.00
1 53384.00
1 53216.00
1 53016.00
1 52688.00
1 51976.00
1 51408.00
1 51288.00
1 50704.00
1 50312.00
1 49504.00
1 49480.00
1 48592.00
1 48120.00
1 47888.00
1 47160.00
1 46896.00
1 46040.00
1 45424.00
1 45064.00
1 44960.00
1 44680.00
1 44576.00
1 44472.00
2 22232.00
3 14717.33
3 14717.33
4 11062.00
5 9016.00
6 7641.33
6 7641.33
7 6546.29
7 6546.29
8 5729.00
9 5057.78
9 5147.56
9 5147.56
9 5147.56
9 5147.56
9 5080.89
9 5080.89
9 5021.33
9 4952.89
10 4495.20
10 4598.40
11 4134.55
12 3732.00
11 4081.45
11 4022.55
12 3747.33
13 3468.31
13 3412.31
13 3412.31
13 3490.46
12 3758.00
12 3758.00
12 3708.00
12 3663.33
12 3608.00
12 3576.67
13 3232.00
13 3280.62
14 2998.86
14 3022.86
14 3010.86
14 3010.86
14 2942.86
14 2954.29
15 2798.40
15 2828.80
15 2828.80
16 2611.50
17 2485.18
17 2466.82
18 2378.67
18 2378.67
18 2378.67
18 2412.89
18 2396.44
18 2396.44
18 2396.44
18 2396.44
18 2372.89
18 2372.89
18 2394.67
18 2394.67
18 2412.00
18 2412.00
18 2371.56
18 2371.56
18 2353.33
18 2343.56
18 2312.00
18 2325.33
18 2269.78
19 2193.26
19 2176.00
19 2225.26
19 2262.74
19 2315.37
19 2315.37
19 2285.47
20 2187.60
19 2347.37
19 2347.37
19 2314.11
19 2314.11
19 2344.00
19 2344.00
19 2344.00
19 2344.00
19 2342.32
19 2342.32
19 2342.32
20 2220.80
20 2220.80
20 2208.40
20 2238.80
20 2230.40
20 2182.80
20 2182.80
20 2196.40
20 2165.60
21 2070.10
21 2070.10
22 1964.00
22 1964.00
